datetime,Device,rrqm/s,wrqm/s,r/s,w/s,rkB/s,wkB/s,avgrq-sz,avgqu-sz,await,r_await,w_await,svctm,%util
14/07/18 16:39:34,dm-2,0.0,0.0,1238.0,0.0,9888.0,0.0,15.97,0.47,0.38,0.38,0.0,0.31,38.3
14/07/18 16:39:35,dm-2,0.0,0.0,3578.0,0.0,28624.0,0.0,16.0,1.32,0.37,0.37,0.0,0.23,80.8
14/07/18 16:39:36,dm-2,0.0,0.0,1019.0,0.0,8152.0,0.0,16.0,0.39,0.38,0.38,0.0,0.32,32.5
14/07/18 16:39:37,dm-2,0.0,0.0,609.0,0.0,4864.0,0.0,15.97,0.29,0.48,0.48,0.0,0.43,26.2
14/07/18 16:39:38,dm-2,0.0,0.0,1845.0,0.0,14760.0,0.0,16.0,0.69,0.37,0.37,0.0,0.3,54.7
14/07/18 16:39:39,dm-2,0.0,0.0,684.0,0.0,5472.0,0.0,16.0,0.28,0.41,0.41,0.0,0.36,24.4
14/07/18 16:39:40,dm-2,0.0,0.0,2015.0,0.0,16096.0,0.0,15.98,0.79,0.39,0.39,0.0,0.29,57.6
14/07/18 16:39:41,dm-2,0.0,0.0,890.0,0.0,7120.0,0.0,16.0,0.36,0.41,0.41,0.0,0.35,30.9
14/07/18 16:39:42,dm-2,0.0,0.0,1053.0,0.0,8424.0,0.0,16.0,0.45,0.43,0.43,0.0,0.36,37.7
14/07/18 16:39:43,dm-2,0.0,0.0,1445.0,0.0,11560.0,0.0,16.0,0.56,0.39,0.39,0.0,0.31,44.8
14/07/18 16:39:44,dm-2,0.0,0.0,1583.0,0.0,12664.0,0.0,16.0,0.71,0.45,0.45,0.0,0.34,53.7
14/07/18 16:39:45,dm-2,0.0,0.0,973.0,0.0,7784.0,0.0,16.0,0.47,0.48,0.48,0.0,0.39,38.1
14/07/18 16:39:46,dm-2,0.0,0.0,982.0,0.0,7856.0,0.0,16.0,0.49,0.5,0.5,0.0,0.41,40.1
