datetime,Glorefs,RemGrefs,GRratio,PhyRds,Rdratio,Gloupds,RemGupds,Rourefs,RemRrefs,RouLaS,RemRLaS,PhyWrs,WDQsz,WDtmpq,WDphase,WIJwri,RouCMs,Jrnwrts,ActECP,Addblk,PrgBufL,PrgSrvR,BytSnt,BytRcd,WDpass,IJUcnt,IJULock,PPGrefs,PPGupds
07/14/2018 16:39:39,1586175,0,0,608,1417.52,101134,0,460870,0,0,0,0,1393,46970,0,0,43,5,0,0,0,0,0,0,291,0,0,174218,70361
07/14/2018 16:39:40,1703379,0,0,2104,466.99,114540,0,469041,0,9,0,0,1478,47109,0,0,118,6,0,0,0,0,0,0,291,0,0,165927,72288
07/14/2018 16:39:41,1545045,0,0,824,1017.57,99859,0,402341,0,0,0,0,1502,47219,0,0,110,4,0,0,0,0,0,0,291,0,0,182764,64498
07/14/2018 16:39:42,1302424,0,0,1111,748.61,106486,0,451325,0,0,0,0,1519,47344,0,0,103,5,0,0,0,0,0,0,291,0,0,186775,72993
07/14/2018 16:39:43,1069787,0,0,1567,395.49,73147,0,427092,0,0,0,0,1543,47450,0,0,89,5,0,0,0,0,0,0,291,0,0,91394,40481
07/14/2018 16:39:44,907643,0,0,1500,373.99,75728,0,374963,0,0,0,0,1559,47570,0,0,71,5,0,0,0,0,0,0,291,0,0,100329,43535
07/14/2018 16:39:45,1178420,0,0,850,778.24,95518,0,376406,0,0,0,0,1580,47654,0,0,44,4,0,0,0,0,0,0,291,0,0,160948,65088
07/14/2018 16:39:46,1175319,0,0,1180,727.71,73599,0,374385,0,0,0,0,1600,47741,0,0,62,5,0,0,0,0,0,0,291,0,0,84317,36549
07/14/2018 16:39:47,904849,0,0,1483,442.48,67586,0,448706,0,0,0,0,1615,47864,0,0,44,4,0,0,0,0,0,0,291,0,0,83961,36653
07/14/2018 16:39:48,1146686,0,0,1133,675.26,106391,0,457562,0,39,0,0,1662,47971,0,0,115,5,0,0,0,0,0,0,291,0,0,170261,70039
07/14/2018 16:39:49,1453098,0,0,617,1732.76,117217,0,551738,0,1,0,0,1678,48090,0,0,100,5,0,0,0,0,0,0,291,0,0,193150,75269
07/14/2018 16:39:50,607913,0,0,609,621.78,72843,0,299130,0,19,0,0,1701,48167,0,0,75,5,0,0,0,0,0,0,291,0,0,89024,43605
07/14/2018 16:39:51,1298310,0,0,707,1068.47,78213,0,397254,0,37,0,0,1788,48260,0,0,110,5,0,0,0,0,0,0,291,0,0,93991,41682
07/14/2018 16:39:52,1411819,0,0,1294,602.15,106569,0,473424,0,0,0,0,1468,48379,0,0,106,6,0,0,0,0,0,0,291,0,0,172580,66514
07/14/2018 16:39:53,1657033,0,0,905,1131.78,118285,0,532978,0,56,0,0,1572,48517,0,0,95,7,0,0,0,0,0,0,291,0,0,193984,76404
07/14/2018 16:39:54,1187979,0,0,1003,805.7,111795,0,411662,0,37,0,0,1661,48655,0,0,87,5,0,0,0,0,0,0,291,0,0,162143,68843
